filename,species,individuals,num_sites,global_fst,zAC,zAR,zGD,zACse,zARse,zGDse,class,uid,family,genus,order,mass_g,range_area_km2,mean_HR_km2,log_mass,log_range,log_HR,area_km2,log_area
Alexandri_Sus_scrofa.str,Sus_scrofa,551,18,0.104,0.162638879685914,0.0167221098244379,0.0104864812590835,0.0137327993657019,0.00426956626335166,0.00253656152260676,mammal,9823,Suidae,Sus,Artiodactyla,84471.54,27926242.4150078,7.55091618347339,4.9267104118742,7.44601250361323,0.877999649547984,307296.219512456,5.48755721741558
Baker_Capreolus_capreolus.str,Capreolus_capreolus,371,13,0.1489,0.137423021509551,0.0490540800908234,0.0311508523243115,0.0108461321752063,0.00658650477760678,0.00384309933496865,mammal,9858,Cervidae,Capreolus,Artiodactyla,22502.01,6440221.48424854,0.723950915863861,4.35222131335225,6.80890080334319,-0.140290878128967,263389.721955377,5.42059882383322
Bertrand_Pekania_pennanti.str,Pekania_pennanti,722,34,0.0685,0.100812905944574,0.0184069001819736,0.0126902299865886,0.00313105483144707,0.00114646123067381,0.00103223212263984,mammal,76720,Mustelidae,Pekania,Carnivora,3750,3711380.82031734,28.67744,3.57403126772772,6.56953551906907,1.45754037978877,128608.53268845,5.10926978333608
Casey_Vicugna_vicugna_mensalis.str,Vicugna_vicugna,374,14,0.1498,0.161190920295863,0.0649635580572878,0.0259866069734543,0.0140597639897893,0.00932196513188307,0.00544733471371621,mammal,9843,Camelidae,Vicugna,Artiodactyla,47499.61,618702.828111233,0.034,4.67669004382396,5.79148210119908,-1.46852108295774,965567.718226527,5.984782737588
Chavez_Tamiasciurus_douglasii.str,Tamiasciurus_douglasii,186,14,0.0305,0.103616355578721,0.00984105703006436,0.00608382272618731,0.00974132302620723,0.00227778399184913,0.00170044053132939,mammal,144198,Sciuridae,Tamiasciurus,Rodentia,225,510560.416380028,0.00769166666666667,2.35218251811136,5.70804714103205,-2.11397954502171,16815.7945517621,4.225717392691
Cheng_Lepus_americanus.str,Lepus_americanus,853,39,0.1524,0.193463978598715,0.0467240835218101,0.0291376575771105,0.00615309337282444,0.00280336291336106,0.00211145115665213,mammal,48086,Leporidae,Lepus,Lagomorpha,1568.42,9597254.58930296,0.0755943548387097,3.19546237165052,6.98214701561891,-1.12151063510643,20740427.5634283,7.31681770511587
Cronin_Ursus_arctos.str,Ursus_arctos,831,16,0.1055,0.101446284983705,0.0556430941536115,0.0269599980369145,0.009430590815798,0.00690180878617178,0.00445839637788434,mammal,9644,Ursidae,Ursus,Carnivora,196287.5,24216941.8371486,338.025826366252,5.29289264369641,7.38411929871175,2.52894988317665,8731693.23934167,6.94109846973049
Cronin_Ursus_maritimus.str,Ursus_maritimus,318,11,0.0435,0.0741870253994966,0.0200874648046516,0.00960410442251559,0.00581944786352794,0.00255722952822199,0.00175572391527285,mammal,29073,Ursidae,Ursus,Carnivora,371703.81,22605413.562199,77331.9346779638,5.57019701267898,7.35421245678673,4.8883588754238,6264001.69347037,6.79685186646124
Davy_Myotis_lucifugus.str,Myotis_lucifugus,1054,21,0.0145,0.192789637386615,0.0162872207032898,0.0027979191937822,0.0121180786809362,0.00265758560722304,0.000529472535459162,mammal,59463,Vespertilionidae,Myotis,Chiroptera,7.8,12626918.3613904,20.199870021454,0.89209460269048,7.10129737257093,1.3053485749344,8470751.39450659,6.92792193595222
Epps_Ovis_canadensis.gen,Ovis_canadensis,579,14,0.1102,0.0781167409838217,0.0421916231611638,0.0259094756781585,0.00659297888941109,0.00533267234412347,0.00421934738925599,mammal,37174,Bovidae,Ovis,Artiodactyla,74644.87,532974.900813496,19.5574545454545,4.87299996601619,5.72670675744147,1.29131232955177,10708.5070325289,4.02972892622579
Frantz_Meles_meles.str,Meles_meles,675,30,0.1721,0.179657323083168,0.0528141940313649,0.0407320849178536,0.00863364678424222,0.00419588523548343,0.00338938139488284,mammal,9662,Mustelidae,Meles,Carnivora,11884.03,9801554.24080301,2.18437799442897,4.07496373946434,6.99129494759902,0.339327792773683,6460986.12597558,6.81029880845718
Gauffre_Microtus_arvalis.str,Microtus_arvalis,855,53,0.0064,0.0852412050104363,0.00273497963743857,0.000689631717944588,0.00280278943202306,0.000401490954262089,0.000214702523683135,mammal,47230,Cricetidae,Microtus,Rodentia,26.9,3808988.60941174,0.00079086810418741,1.42975228000241,6.58080967392715,-3.10189593925815,458.173568885193,2.66103003199785
